time,x,y,z,shaft_length
140.704,-0.000680,-0.012316,0.034762,0.0100
140.736,-0.000680,-0.012392,0.034888,0.0100
140.768,-0.000680,-0.012468,0.035013,0.0100
140.800,-0.000680,-0.012544,0.035138,0.0100
140.832,-0.000680,-0.012620,0.035263,0.0100
140.864,-0.000680,-0.012697,0.035388,0.0100
140.896,-0.000680,-0.012773,0.035512,0.0100
140.928,-0.000680,-0.012850,0.035636,0.0100
140.960,-0.000680,-0.012927,0.035760,0.0100
140.992,-0.000680,-0.013005,0.035884,0.0100
141.024,-0.000680,-0.013082,0.036008,0.0100
141.056,-0.000680,-0.013160,0.036131,0.0100
141.088,-0.000680,-0.013238,0.036254,0.0100
141.120,-0.000680,-0.013316,0.036377,0.0100
141.152,-0.000680,-0.013395,0.036500,0.0100
141.184,-0.000680,-0.013473,0.036622,0.0100
141.216,-0.000680,-0.013552,0.036744,0.0100
